id,gear_type_id,gearbox_size_id,mount_type_id,mass
1,10,3,10,38.700000000000000000000000000000
2,10,4,10,41.000000000000000000000000000000
3,10,5,10,57.000000000000000000000000000000
4,10,6,10,69.000000000000000000000000000000
5,10,7,10,123.000000000000000000000000000000
6,10,8,10,194.000000000000000000000000000000
7,10,9,10,322.000000000000000000000000000000
8,10,10,10,554.000000000000000000000000000000
9,10,12,10,989.000000000000000000000000000000
10,10,15,10,1487.000000000000000000000000000000
11,10,16,10,1110.000000000000000000000000000000
12,10,18,10,1430.000000000000000000000000000000
13,10,3,20,13.700000000000000000000000000000
14,10,4,20,23.000000000000000000000000000000
15,10,5,20,32.000000000000000000000000000000
16,10,6,20,39.000000000000000000000000000000
17,10,7,20,67.000000000000000000000000000000
18,10,8,20,108.000000000000000000000000000000
19,10,9,20,174.000000000000000000000000000000
20,10,10,20,295.000000000000000000000000000000
21,10,12,20,496.000000000000000000000000000000
22,10,15,20,759.000000000000000000000000000000
23,10,16,20,1300.000000000000000000000000000000
24,10,18,20,1688.000000000000000000000000000000
25,10,3,30,12.700000000000000000000000000000
26,10,4,30,19.000000000000000000000000000000
27,10,5,30,26.000000000000000000000000000000
28,10,6,30,32.000000000000000000000000000000
29,10,7,30,59.000000000000000000000000000000
30,10,8,30,89.000000000000000000000000000000
31,10,9,30,155.000000000000000000000000000000
32,10,10,30,271.000000000000000000000000000000
33,10,12,30,462.000000000000000000000000000000
34,10,15,30,697.000000000000000000000000000000
35,10,16,30,1110.000000000000000000000000000000
36,10,18,30,1430.000000000000000000000000000000
37,10,3,40,38.700000000000000000000000000000
38,10,4,40,41.000000000000000000000000000000
39,10,5,40,57.000000000000000000000000000000
40,10,6,40,69.000000000000000000000000000000
41,10,7,40,123.000000000000000000000000000000
42,10,8,40,194.000000000000000000000000000000
43,10,9,40,322.000000000000000000000000000000
44,10,10,40,554.000000000000000000000000000000
45,10,12,40,989.000000000000000000000000000000
46,10,15,40,1487.000000000000000000000000000000
47,10,16,40,1110.000000000000000000000000000000
48,10,18,40,1430.000000000000000000000000000000
49,40,3,10,13.000000000000000000000000000000
50,40,4,10,16.000000000000000000000000000000
51,40,5,10,21.000000000000000000000000000000
52,40,6,10,30.000000000000000000000000000000
53,40,7,10,50.000000000000000000000000000000
54,40,8,10,92.000000000000000000000000000000
55,40,9,10,160.000000000000000000000000000000
56,40,10,10,240.000000000000000000000000000000
57,40,12,10,400.000000000000000000000000000000
58,40,15,10,680.000000000000000000000000000000
59,40,3,20,14.000000000000000000000000000000
60,40,4,20,20.000000000000000000000000000000
