id,List_id_avalible shaft,Desc
10,"10, 20, 30, 40","K,S,F сплошной вал, K,S,F полый вал, K,S,F полый вал со стяжной муфтой, K,S,F эвольвентный вал"
20,"10","C сплошной вал"
