id,gear_size_id,ratio_code_id,ex_ratio,t2n,p1n,gear_efficiency_id,item_name
1,262,4,3.950000000000000000000000000000,150.000000000000000000000000000000,5.800000000000000000000000000000,30,K303B40
2,262,405,4.460000000000000000000000000000,150.000000000000000000000000000000,5.100000000000000000000000000000,30,K303B45
3,262,5,5.080000000000000000000000000000,150.000000000000000000000000000000,4.480000000000000000000000000000,30,K303B50
4,262,506,5.740000000000000000000000000000,160.000000000000000000000000000000,4.230000000000000000000000000000,30,K303B56
5,262,6,6.420000000000000000000000000000,180.000000000000000000000000000000,4.250000000000000000000000000000,30,K303B63
6,262,7,7.240000000000000000000000000000,180.000000000000000000000000000000,3.770000000000000000000000000000,30,K303B71
7,262,8,8.250000000000000000000000000000,180.000000000000000000000000000000,3.310000000000000000000000000000,30,K303B80
8,262,9,9.330000000000000000000000000000,180.000000000000000000000000000000,2.930000000000000000000000000000,30,K303B90
9,262,10,10.600000000000000000000000000000,180.000000000000000000000000000000,2.590000000000000000000000000000,30,K303C10
10,262,11,11.400000000000000000000000000000,180.000000000000000000000000000000,2.400000000000000000000000000000,30,K303C11
11,262,12,12.700000000000000000000000000000,180.000000000000000000000000000000,2.160000000000000000000000000000,30,K303C13
12,262,14,14.300000000000000000000000000000,200.000000000000000000000000000000,2.130000000000000000000000000000,30,K303C14
13,262,16,16.300000000000000000000000000000,200.000000000000000000000000000000,1.870000000000000000000000000000,30,K303C16
14,262,18,18.400000000000000000000000000000,210.000000000000000000000000000000,1.730000000000000000000000000000,30,K303C18
15,262,20,20.800000000000000000000000000000,220.000000000000000000000000000000,1.600000000000000000000000000000,30,K303C20
16,262,22,22.400000000000000000000000000000,225.000000000000000000000000000000,1.520000000000000000000000000000,30,K303C22
17,262,25,23.700000000000000000000000000000,230.000000000000000000000000000000,1.470000000000000000000000000000,30,K303C25
18,262,28,28.900000000000000000000000000000,230.000000000000000000000000000000,1.210000000000000000000000000000,30,K303C28
19,262,31,32.200000000000000000000000000000,230.000000000000000000000000000000,1.090000000000000000000000000000,30,K303C32
20,262,35,36.300000000000000000000000000000,230.000000000000000000000000000000,0.960000000000000000000000000000,30,K303C36
21,262,40,41.300000000000000000000000000000,230.000000000000000000000000000000,0.850000000000000000000000000000,30,K303C40
22,262,45,46.700000000000000000000000000000,230.000000000000000000000000000000,0.750000000000000000000000000000,30,K303C45
23,262,50,52.900000000000000000000000000000,230.000000000000000000000000000000,0.660000000000000000000000000000,30,K303C50
24,262,56,57.000000000000000000000000000000,230.000000000000000000000000000000,0.610000000000000000000000000000,30,K303C56
25,262,63,66.700000000000000000000000000000,230.000000000000000000000000000000,0.520000000000000000000000000000,30,K303C63
26,262,71,75.600000000000000000000000000000,230.000000000000000000000000000000,0.460000000000000000000000000000,30,K303C71
27,262,80,83.300000000000000000000000000000,230.000000000000000000000000000000,0.420000000000000000000000000000,30,K303C80
28,262,90,91.100000000000000000000000000000,230.000000000000000000000000000000,0.380000000000000000000000000000,30,K303C90
29,262,100,99.600000000000000000000000000000,230.000000000000000000000000000000,0.350000000000000000000000000000,30,K303D10
30,264,4,3.950000000000000000000000000000,200.000000000000000000000000000000,7.700000000000000000000000000000,30,K304B40
31,264,405,4.430000000000000000000000000000,230.000000000000000000000000000000,7.900000000000000000000000000000,30,K304B45
32,264,5,5.010000000000000000000000000000,250.000000000000000000000000000000,7.600000000000000000000000000000,30,K304B50
33,264,506,5.560000000000000000000000000000,260.000000000000000000000000000000,7.100000000000000000000000000000,30,K304B56
34,264,6,6.190000000000000000000000000000,280.000000000000000000000000000000,6.900000000000000000000000000000,30,K304B63
35,264,7,6.950000000000000000000000000000,280.000000000000000000000000000000,6.100000000000000000000000000000,30,K304B71
36,264,8,7.850000000000000000000000000000,300.000000000000000000000000000000,5.800000000000000000000000000000,30,K304B80
37,264,9,8.710000000000000000000000000000,310.000000000000000000000000000000,5.400000000000000000000000000000,30,K304B90
38,264,10,9.980000000000000000000000000000,340.000000000000000000000000000000,5.200000000000000000000000000000,30,K304C10
39,264,11,11.000000000000000000000000000000,360.000000000000000000000000000000,4.980000000000000000000000000000,30,K304C11
40,264,12,12.400000000000000000000000000000,380.000000000000000000000000000000,4.660000000000000000000000000000,30,K304C13
41,264,14,13.500000000000000000000000000000,400.000000000000000000000000000000,4.480000000000000000000000000000,30,K304C14
42,264,16,15.200000000000000000000000000000,420.000000000000000000000000000000,4.190000000000000000000000000000,30,K304C16
43,264,18,17.200000000000000000000000000000,420.000000000000000000000000000000,3.710000000000000000000000000000,30,K304C18
44,264,20,19.100000000000000000000000000000,450.000000000000000000000000000000,3.580000000000000000000000000000,30,K304C20
45,264,22,21.800000000000000000000000000000,450.000000000000000000000000000000,3.130000000000000000000000000000,30,K304C22
46,264,25,24.000000000000000000000000000000,450.000000000000000000000000000000,2.850000000000000000000000000000,30,K304C25
47,264,28,27.100000000000000000000000000000,450.000000000000000000000000000000,2.530000000000000000000000000000,30,K304C28
48,264,31,30.200000000000000000000000000000,450.000000000000000000000000000000,2.260000000000000000000000000000,30,K304C32
49,264,35,37.200000000000000000000000000000,450.000000000000000000000000000000,1.830000000000000000000000000000,30,K304C36
50,264,40,41.800000000000000000000000000000,450.000000000000000000000000000000,1.630000000000000000000000000000,30,K304C40
51,264,45,47.200000000000000000000000000000,450.000000000000000000000000000000,1.450000000000000000000000000000,30,K304C45
52,264,50,52.400000000000000000000000000000,450.000000000000000000000000000000,1.300000000000000000000000000000,30,K304C50
53,264,56,60.100000000000000000000000000000,450.000000000000000000000000000000,1.140000000000000000000000000000,30,K304C56
54,264,63,66.000000000000000000000000000000,450.000000000000000000000000000000,1.040000000000000000000000000000,30,K304C63
55,264,71,74.400000000000000000000000000000,450.000000000000000000000000000000,0.920000000000000000000000000000,30,K304C71
56,264,80,79.500000000000000000000000000000,450.000000000000000000000000000000,0.860000000000000000000000000000,30,K304C80
57,264,90,92.400000000000000000000000000000,450.000000000000000000000000000000,0.740000000000000000000000000000,30,K304C90
58,264,100,104.000000000000000000000000000000,450.000000000000000000000000000000,0.660000000000000000000000000000,30,K304D10
59,264,112,113.600000000000000000000000000000,450.000000000000000000000000000000,0.600000000000000000000000000000,30,K304D11
60,264,125,124.600000000000000000000000000000,450.000000000000000000000000000000,0.550000000000000000000000000000,30,K304D13
61,266,4,4.080000000000000000000000000000,360.000000000000000000000000000000,13.400000000000000000000000000000,30,K305B40
62,266,405,5.580000000000000000000000000000,360.000000000000000000000000000000,11.900000000000000000000000000000,30,K305B45
63,266,5,5.180000000000000000000000000000,360.000000000000000000000000000000,10.600000000000000000000000000000,30,K305B50
64,266,506,5.750000000000000000000000000000,380.000000000000000000000000000000,10.000000000000000000000000000000,30,K305B56
65,266,6,6.560000000000000000000000000000,400.000000000000000000000000000000,9.300000000000000000000000000000,30,K305B63
66,266,7,7.410000000000000000000000000000,420.000000000000000000000000000000,8.600000000000000000000000000000,30,K305B71
67,266,8,8.230000000000000000000000000000,420.000000000000000000000000000000,7.700000000000000000000000000000,30,K305B80
68,266,9,9.430000000000000000000000000000,430.000000000000000000000000000000,6.900000000000000000000000000000,30,K305B90
69,266,10,10.400000000000000000000000000000,450.000000000000000000000000000000,6.600000000000000000000000000000,30,K305C10
70,266,11,10.700000000000000000000000000000,460.000000000000000000000000000000,6.500000000000000000000000000000,30,K305C11
71,266,12,12.000000000000000000000000000000,500.000000000000000000000000000000,6.300000000000000000000000000000,30,K305C13
72,266,14,13.600000000000000000000000000000,550.000000000000000000000000000000,6.100000000000000000000000000000,30,K305C14
73,266,16,15.100000000000000000000000000000,600.000000000000000000000000000000,6.000000000000000000000000000000,30,K305C16
74,266,18,17.300000000000000000000000000000,620.000000000000000000000000000000,5.400000000000000000000000000000,30,K305C18
75,266,20,19.000000000000000000000000000000,650.000000000000000000000000000000,5.200000000000000000000000000000,30,K305C20
76,266,22,21.400000000000000000000000000000,680.000000000000000000000000000000,4.820000000000000000000000000000,30,K305C22
77,266,25,22.900000000000000000000000000000,680.000000000000000000000000000000,4.510000000000000000000000000000,30,K305C25
78,266,28,29.500000000000000000000000000000,680.000000000000000000000000000000,3.500000000000000000000000000000,30,K305C28
79,266,31,33.100000000000000000000000000000,680.000000000000000000000000000000,3.120000000000000000000000000000,30,K305C32
80,266,35,37.400000000000000000000000000000,680.000000000000000000000000000000,2.760000000000000000000000000000,30,K305C36
81,266,40,41.500000000000000000000000000000,680.000000000000000000000000000000,2.490000000000000000000000000000,30,K305C40
82,266,45,47.500000000000000000000000000000,680.000000000000000000000000000000,2.170000000000000000000000000000,30,K305C45
83,266,50,52.300000000000000000000000000000,680.000000000000000000000000000000,1.980000000000000000000000000000,30,K305C50
84,266,56,58.900000000000000000000000000000,680.000000000000000000000000000000,1.750000000000000000000000000000,30,K305C56
85,266,63,62.900000000000000000000000000000,630.000000000000000000000000000000,1.520000000000000000000000000000,30,K305C63
86,266,71,73.200000000000000000000000000000,520.000000000000000000000000000000,1.080000000000000000000000000000,30,K305C71
87,266,80,82.300000000000000000000000000000,520.000000000000000000000000000000,0.960000000000000000000000000000,30,K305C80
88,266,90,89.900000000000000000000000000000,520.000000000000000000000000000000,0.880000000000000000000000000000,30,K305C90
89,266,100,98.600000000000000000000000000000,520.000000000000000000000000000000,0.800000000000000000000000000000,30,K305D10
90,266,112,107.100000000000000000000000000000,520.000000000000000000000000000000,0.740000000000000000000000000000,30,K305D11
91,268,4,4.200000000000000000000000000000,680.000000000000000000000000000000,24.600000000000000000000000000000,30,K306B40
92,268,405,4.820000000000000000000000000000,680.000000000000000000000000000000,21.400000000000000000000000000000,30,K306B45
93,268,5,5.140000000000000000000000000000,700.000000000000000000000000000000,20.700000000000000000000000000000,30,K306B50
94,268,506,5.590000000000000000000000000000,730.000000000000000000000000000000,19.800000000000000000000000000000,30,K306B56
95,268,6,6.020000000000000000000000000000,750.000000000000000000000000000000,18.900000000000000000000000000000,30,K306B63
